house_id,city,sale_date,months_listed,bedrooms,house_type,area,sale_price
1000000,Riverford,2023-01-05,11.5,,Semi-detached,76.0 sq.m.,246175.94
1000001,--,,7.7,1.0,Terr.,286.6 sq.m.,
1000002,Teasdale,2023-01-05,1.4,2.0,Det.,290.7 sq.m.,445285.21
1000003,Riverford,2023-01-05,9.6,6.0,Semi,293.7 sq.m.,516530.19
1000004,Silvertown,2023-01-05,5.2,3.0,Semi,202.4 sq.m.,364363.3
1000005,Silvertown,2023-01-05,7.7,6.0,Semi-detached,75.5 sq.m.,306429.42
1000006,Silvertown,2023-01-05,11.4,,Detached,176.8 sq.m.,339338.52
1000007,Poppleton,,9.4,5.0,Det.,79.5 sq.m.,286008.54
1000008,Teasdale,2023-01-05,6.8,4.0,Semi,140.4 sq.m.,320887.92
1000009,Teasdale,,8.1,2.0,Semi-detached,227.0 sq.m.,381018.35
1000010,Silvertown,2023-01-05,2.2,1.0,Semi,174.6 sq.m.,306451.57
1000011,--,2023-01-05,6.5,2.0,nan,88.6 sq.m.,218243.26
1000012,Poppleton,,7.2,2.0,Det.,254.8 sq.m.,401374.26
1000013,Silvertown,2023-01-05,3.9,3.0,Det.,100.5 sq.m.,269668.51
1000014,Silvertown,2023-01-05,12.0,,nan,242.3 sq.m.,393321.0
1000015,Silvertown,2023-01-05,11.1,5.0,Terraced,,
1000016,Riverford,2023-01-05,2.3,2.0,nan,168.4 sq.m.,319796.97
1000017,Riverford,2023-01-05,6.0,,Terr.,92.8 sq.m.,245216.18
1000018,Riverford,2023-01-05,5.9,,Terr.,228.8 sq.m.,374539.69
1000019,Silvertown,,8.5,4.0,Semi-detached,207.4 sq.m.,384121.42
1000020,Teasdale,2023-01-05,4.5,2.0,Det.,238.3 sq.m.,372297.71
1000021,Silvertown,2023-01-05,1.7,1.0,Terraced,246.8 sq.m.,357321.32
1000022,Silvertown,2023-01-05,10.8,4.0,Terraced,157.2 sq.m.,347631.85
1000023,Riverford,2023-01-05,8.8,5.0,Semi,274.5 sq.m.,477882.8
1000024,Riverford,2023-01-05,8.0,6.0,Semi,179.0 sq.m.,403744.78
1000025,Teasdale,2023-01-05,6.6,3.0,nan,285.9 sq.m.,435287.39
1000026,Silvertown,,3.2,6.0,Terraced,242.5 sq.m.,
1000027,Riverford,,9.7,1.0,nan,179.3 sq.m.,306637.95
1000028,Riverford,2023-01-05,,2.0,nan,134.6 sq.m.,274945.45
1000029,Silvertown,2023-01-05,5.1,5.0,Semi,243.1 sq.m.,434110.53
1000030,Teasdale,2023-01-05,7.1,3.0,Det.,148.3 sq.m.,301983.47
1000031,Silvertown,2023-01-05,1.9,4.0,nan,,332662.91
1000032,Silvertown,2023-01-05,12.0,1.0,Detached,87.7 sq.m.,200955.44
1000033,Poppleton,2023-01-05,6.8,3.0,Det.,294.4 sq.m.,463395.66
1000034,--,2023-01-05,10.1,3.0,Terraced,249.8 sq.m.,419204.81
1000035,Poppleton,2023-01-05,11.7,4.0,Terraced,293.2 sq.m.,466702.67
1000036,Riverford,2023-01-05,5.9,5.0,nan,271.4 sq.m.,468082.88
1000037,Silvertown,2023-01-05,4.8,6.0,Det.,268.4 sq.m.,474422.51
1000038,Teasdale,2023-01-05,9.6,5.0,Semi,128.4 sq.m.,333115.74
1000039,Riverford,2023-01-05,3.0,3.0,Semi,256.8 sq.m.,429043.25
1000040,Silvertown,2023-01-05,5.8,4.0,Terr.,202.6 sq.m.,371779.11
1000041,Riverford,,1.6,5.0,Terraced,151.0 sq.m.,349750.51
1000042,Silvertown,2023-01-05,2.7,5.0,Semi-detached,271.9 sq.m.,
1000043,Poppleton,2023-01-05,4.5,5.0,Terr.,204.5 sq.m.,404519.15
1000044,Silvertown,,4.8,3.0,Semi,136.3 sq.m.,287623.4
1000045,Teasdale,2023-01-05,10.8,5.0,Det.,212.2 sq.m.,412951.67
1000046,Riverford,2023-01-05,3.8,1.0,Semi,270.2 sq.m.,380434.91
1000047,Riverford,2023-01-05,7.1,5.0,Det.,184.4 sq.m.,389078.0
1000048,Riverford,2023-01-05,4.3,2.0,Terr.,229.7 sq.m.,368484.45
1000049,Silvertown,2023-01-05,6.5,5.0,Terraced,180.1 sq.m.,369301.18
1000050,--,2023-01-05,11.4,5.0,Semi,103.4 sq.m.,308153.32
1000051,Teasdale,2023-01-05,8.2,6.0,nan,128.1 sq.m.,335146.3
1000052,Poppleton,2023-01-05,7.7,5.0,Det.,208.9 sq.m.,408412.34
1000053,Poppleton,2023-01-05,7.2,2.0,Terraced,,293175.25
1000054,Riverford,2023-01-05,1.3,4.0,Semi-detached,185.0 sq.m.,371255.01
1000055,Poppleton,2023-01-05,,2.0,Det.,258.1 sq.m.,402867.15
1000056,Silvertown,2023-01-05,7.3,3.0,Terr.,155.7 sq.m.,321633.06
1000057,Silvertown,2023-01-05,9.4,3.0,Semi-detached,233.0 sq.m.,395421.74
1000058,Silvertown,2023-01-05,8.0,5.0,Semi-detached,114.9 sq.m.,324796.59
1000059,Riverford,2023-01-05,7.9,1.0,Detached,81.0 sq.m.,
1000060,Riverford,2023-01-05,11.5,2.0,Semi,285.3 sq.m.,
1000061,Silvertown,2023-01-05,9.9,1.0,Det.,193.1 sq.m.,305051.13
1000062,Poppleton,2023-01-05,4.3,4.0,Semi-detached,,329983.02
1000063,Riverford,2023-01-05,1.7,1.0,Detached,109.0 sq.m.,223709.78
1000064,Silvertown,2023-01-05,6.3,4.0,Terr.,195.4 sq.m.,383552.3
1000065,Riverford,2023-01-05,7.7,5.0,Terraced,284.4 sq.m.,493268.15
1000066,Silvertown,2023-01-05,8.9,5.0,nan,261.1 sq.m.,472522.66
1000067,Poppleton,,10.5,3.0,nan,124.8 sq.m.,281322.5
1000068,Silvertown,2023-01-05,2.4,6.0,Det.,253.8 sq.m.,486471.27
1000069,--,2023-01-05,7.2,2.0,Semi-detached,85.0 sq.m.,
1000070,Teasdale,2023-01-05,6.1,1.0,nan,234.4 sq.m.,340522.55
1000071,Silvertown,2023-01-05,3.7,6.0,Semi,179.1 sq.m.,397345.85
1000072,Silvertown,2023-01-05,4.2,5.0,nan,244.6 sq.m.,448538.82
1000073,Poppleton,2023-01-05,7.8,4.0,nan,86.6 sq.m.,
1000074,Teasdale,2023-01-05,10.5,6.0,nan,153.0 sq.m.,361229.83
1000075,Teasdale,2023-01-05,4.6,5.0,Detached,156.2 sq.m.,345196.5
1000076,Teasdale,2023-01-05,4.4,1.0,Semi-detached,103.7 sq.m.,225394.05
1000077,Silvertown,2023-01-05,6.5,3.0,Semi,219.2 sq.m.,378933.09
1000078,Riverford,2023-01-05,6.5,2.0,Semi-detached,189.7 sq.m.,321464.9
1000079,Silvertown,2023-01-05,1.3,1.0,Det.,268.0 sq.m.,386021.89
1000080,Poppleton,2023-01-05,6.6,2.0,Det.,209.1 sq.m.,357800.13
1000081,Teasdale,2023-01-05,3.4,2.0,Det.,222.3 sq.m.,
1000082,Riverford,2023-01-05,1.6,6.0,Terr.,232.9 sq.m.,
1000083,Silvertown,2023-01-05,10.7,6.0,nan,90.7 sq.m.,298586.18
1000084,Riverford,2023-01-05,6.2,5.0,Terr.,171.2 sq.m.,
1000085,Riverford,2023-01-05,10.3,4.0,Detached,292.0 sq.m.,457157.09
1000086,Teasdale,2023-01-05,10.7,6.0,Det.,182.3 sq.m.,404348.85
1000087,Teasdale,2023-01-05,9.4,6.0,Semi,163.9 sq.m.,379121.34
1000088,Poppleton,,5.4,6.0,Semi-detached,,383732.31
1000089,Riverford,,3.1,1.0,nan,189.8 sq.m.,310644.64
1000090,Silvertown,2023-01-05,1.8,2.0,Terraced,79.7 sq.m.,210924.24
1000091,Teasdale,2023-01-05,9.4,5.0,Semi,77.6 sq.m.,277625.51
1000092,Teasdale,2023-01-05,11.9,2.0,nan,122.4 sq.m.,274392.67
